lon,lat,Name,bkp,img_url,wiki_url,Hoehe,Ordnung,Color
14.157261,51.361171,1. Ossling,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Ossling_saeule1.jpg/80px-Ossling_saeule1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Ossling_saeule1.jpg/80px-Ossling_saeule1.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#1._Ossling,155,1,Red
14.704251,51.256806,2. Nostitzhoehe,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Station_2_Nostitzh%C3%B6he.jpg/80px-Station_2_Nostitzh%C3%B6he.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Station_2_Nostitzh%C3%B6he.jpg/80px-Station_2_Nostitzh%C3%B6he.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#2._Nostitzh%C3%B6he,294,1,Red
14.897528,51.094139,3. Jauernick,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Jauernik.jpg/80px-Jauernik.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Jauernik.jpg/80px-Jauernik.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#3._Jauernick,395,1,Red
14.984972,50.732639,4. Jeschken,,,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#4._Jeschken,1013,1,Red
14.646833,50.848972,5. Lausche,,,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#5._Lausche,786,1,Red
14.278639,51.074056,6. Valtenberg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Valtenberg1.jpg/80px-Valtenberg1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Valtenberg1.jpg/80px-Valtenberg1.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#6._Valtenberg,595,1,Red
13.903306,51.012694,7. Porsberg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Borsberg.jpg/80px-Borsberg.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Borsberg.jpg/80px-Borsberg.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#7._Porsberg,367,1,Red
14.108528,50.793028,8. Schneeberg,,,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#8._Schneeberg,711,1,Red
13.733528,50.751667,9. Kahleberg,,,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#9._Kahleberg,881,1,Red
13.956083,51.227278,10. Keulenberg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Station_Nr._10_%22Keulenberg%22.jpg/80px-Station_Nr._10_%22Keulenberg%22.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Station_Nr._10_%22Keulenberg%22.jpg/80px-Station_Nr._10_%22Keulenberg%22.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#10._Keulenberg,411,1,Red
13.575271,51.384851,11. Strauch,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Vermessungspunkt_Strauch_1.jpg/80px-Vermessungspunkt_Strauch_1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Vermessungspunkt_Strauch_1.jpg/80px-Vermessungspunkt_Strauch_1.jpg,https://de.wikipedia.org/wiki/K%C3%B6niglich-S%C3%A4chsische_Triangulirung#11._Strauch,208,1,Red
